location,age_total,age_0-14,age_65-,age_15-64,dissa,dissa_distance,income_200under,unmet
포항시남구,226152,25376.5,59447.5,141328,10.3,6.9,43.9,4
포항시북구,267127,31653,70765,164709,10.3,6.9,43.9,2.7
경주시,247712,23613,87053,137046,6.8,8.5,48.2,5.8
김천시,138069.5,14910.5,50214,72945,7,12.1,45,3.3
안동시,153467.5,15233.5,59617.5,78616.5,11.7,31.9,58.5,4.9
구미시,405517,56742,61811,286964,9.6,14.1,38.6,6
영주시,100270.5,9248,42706,48316.5,15.1,12.8,46.9,5.5
영천시,100430.5,8178,43998,48254.5,11.2,15.5,63.4,8.3
상주시,94172.5,7801.5,47867,38504,9.4,18.6,53.5,4.7
문경시,69335,5852,33242,30241,7.4,22,55.4,5.2
경산시,266058,29049.5,68206,168802.5,4.3,42,46.7,18
의성군,49981,2661,33512.5,13807.5,8.2,36,77.4,5.1
청송군,24122,1359.5,14477.5,8285,14.2,58.2,52.5,8.7
영양군,15812,972.5,9627,5212.5,31.8,63.8,71.5,5.9
영덕군,34246,2211.5,21040,10994.5,10.9,40.3,69.3,0.3
청도군,41350.5,2240.5,25038,14072,10.5,37.6,54.6,3.6
고령군,30179.5,1951.5,15391,12837,9.1,29.4,55.5,3.7
성주군,42194.5,2621.5,21495,18078,10.5,29.7,56.2,11.4
칠곡군,111166,12928,28607.5,69630.5,9.6,15.3,37.2,3.7
예천군,55432,6654,26860.5,21917.5,17.6,33.4,63.5,5.6
봉화군,29719,1811.5,17970.5,9937,10.3,22.5,57.8,7.6
울진군,46750,4040,21544,21166,13.3,25,58,4.3
울릉군,8949.5,538.5,3411.5,4999.5,43.3,19,35.5,4.4
