구분,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
전국,2.09,2.14,2.17,2.22,2.27,2.32,2.37,2.39,2.45,2.49,2.55,2.61
서울,3.48,3.56,3.76,3.82,3.89,3.99,4.12,4.24,4.39,4.51,4.70,4.82
부산,2.68,2.77,2.88,2.97,3.06,3.12,3.20,3.27,3.36,3.42,3.52,3.61
대구,2.73,2.82,2.89,2.95,3.04,3.14,3.20,3.31,3.44,3.52,3.63,3.73
인천,1.88,1.92,1.99,2.09,2.15,2.20,2.31,2.40,2.49,2.54,2.58,2.65
광주,2.98,3.01,3.11,3.21,3.32,3.47,3.56,3.58,3.70,3.74,3.73,3.83
대전,2.84,2.96,3.02,3.11,3.21,3.28,3.39,3.49,3.61,3.62,3.68,3.74
울산,1.95,1.96,2.01,2.03,2.13,2.21,2.26,2.28,2.32,2.37,2.42,2.46
세종,-,1.24,1.31,1.33,1.30,1.33,1.54,1.53,1.54,1.93,1.94,2.01
경기,1.95,1.99,2.06,2.09,2.13,2.18,2.26,2.30,2.38,2.45,2.50,2.61
강원,2.17,2.20,2.25,2.30,2.35,2.38,2.44,2.47,2.54,2.61,2.65,2.65
충북,1.95,1.97,2.04,2.09,2.16,2.21,2.26,2.31,2.38,2.39,2.41,2.44
충남,1.97,2.03,2.07,2.13,2.15,2.19,2.25,2.27,2.33,2.36,2.39,2.38
전북,2.45,2.49,2.62,2.68,2.78,2.84,2.92,2.97,3.05,3.08,3.11,3.15
전남,2.05,2.11,2.20,2.23,2.27,2.35,2.43,2.46,2.53,2.56,2.63,2.64
경북,1.76,1.80,1.87,1.93,1.93,1.97,2.03,2.06,2.12,2.15,2.15,2.16
경남,1.95,2.00,2.05,2.13,2.16,2.27,2.33,2.35,2.43,2.49,2.53,2.57
제주,2.05,2.10,2.24,2.25,2.30,2.33,2.43,2.45,2.52,2.54,2.57,2.62
